card_code,level,qr_url
PZGSV2,9,https://REPLACE-ME.link/go?c=PZGSV2
EC4ZGA,9,https://REPLACE-ME.link/go?c=EC4ZGA
JGBC8S,9,https://REPLACE-ME.link/go?c=JGBC8S
BTMBZ6,9,https://REPLACE-ME.link/go?c=BTMBZ6
YZYWR4,9,https://REPLACE-ME.link/go?c=YZYWR4
GTX5GN,9,https://REPLACE-ME.link/go?c=GTX5GN
Z9D8AQ,9,https://REPLACE-ME.link/go?c=Z9D8AQ
KVAVF7,9,https://REPLACE-ME.link/go?c=KVAVF7
WP5JDX,9,https://REPLACE-ME.link/go?c=WP5JDX
X7DTC2,9,https://REPLACE-ME.link/go?c=X7DTC2
JVJ6DR,9,https://REPLACE-ME.link/go?c=JVJ6DR
FN23T6,9,https://REPLACE-ME.link/go?c=FN23T6
BBN3YY,9,https://REPLACE-ME.link/go?c=BBN3YY
ASTCDT,9,https://REPLACE-ME.link/go?c=ASTCDT
YEAND4,9,https://REPLACE-ME.link/go?c=YEAND4
B7HT5J,9,https://REPLACE-ME.link/go?c=B7HT5J
N3E725,9,https://REPLACE-ME.link/go?c=N3E725
MD5KBN,9,https://REPLACE-ME.link/go?c=MD5KBN
GYGEDW,9,https://REPLACE-ME.link/go?c=GYGEDW
ZHS8YC,9,https://REPLACE-ME.link/go?c=ZHS8YC
SQHP27,9,https://REPLACE-ME.link/go?c=SQHP27
B2H6NP,9,https://REPLACE-ME.link/go?c=B2H6NP
QM5KT2,9,https://REPLACE-ME.link/go?c=QM5KT2
A7GW3M,9,https://REPLACE-ME.link/go?c=A7GW3M
V38TKM,9,https://REPLACE-ME.link/go?c=V38TKM
